NAPS_ID,EMS_ID,STATION_NAME,REGION,OWNER,DATE,MONTH,YEAR,MONTHLY1-HR_AVG-STATION,ANNUAL1-HR_AVG-STATION,MONTHLY1-HR_AVG-REGION,ANNUAL1-HR_AVG-REGION,LAT,LONG
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-01-09 15:00:00,1,1981,21.461,8.439,21.461,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-02-01 00:00:00,2,1981,30.0,8.439,30.0,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-07-01 01:00:00,7,1981,6.513,8.439,6.513,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-08-01 00:00:00,8,1981,5.112,8.439,5.112,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-09-01 00:00:00,9,1981,5.115,8.439,5.115,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-10-01 00:00:00,10,1981,6.382,8.439,6.382,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-11-01 01:00:00,11,1981,7.944,8.439,7.944,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1981-12-01 00:00:00,12,1981,10.254,8.439,10.254,8.439,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-01-16 01:00:00,1,1982,8.497,6.801,8.497,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-02-01 00:00:00,2,1982,10.422,6.801,10.422,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-03-01 00:00:00,3,1982,8.928,6.801,8.928,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-04-01 00:00:00,4,1982,6.467,6.801,6.467,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-05-01 02:00:00,5,1982,7.097,6.801,7.097,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-06-01 00:00:00,6,1982,5.899,6.801,5.899,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-07-01 00:00:00,7,1982,4.953,6.801,4.953,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-08-01 00:00:00,8,1982,5.089,6.801,5.089,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-09-01 00:00:00,9,1982,5.991,6.801,5.991,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1982-10-01 00:00:00,10,1982,6.781,6.801,6.781,6.801,48.4244,-123.3597
10,0110000,Victoria Air 1,01 - Vancouver Island,ENV,1983-01-06 13:00:00,1,1983,5.722,5.722,5.722,6.694,48.4244,-123.3597
10,0110030,Victoria PAPS,01 - Vancouver Island,MVRD,1983-03-07 17:00:00,3,1983,5.793,6.721,5.793,6.694,48.4239,-123.3553
10,0110030,Victoria PAPS,01 - Vancouver Island,MVRD,1983-04-01 00:00:00,4,1983,6.576,6.721,6.576,6.694,48.4239,-123.3553
